sls_ord_num,product_key,customer_key,sls_cust_id,sls_order_dt,sls_ship_dt,sls_due_dt,sls_sales,sls_quantity,sls_price
SO62995,116,11720,22718,2013-07-28,2013-08-04,2013-08-09,21,1,21
SO63011,112,759,11757,2013-07-29,2013-08-05,2013-08-10,2,1,2
SO63054,116,11755,22753,2013-07-29,2013-08-05,2013-08-10,21,1,21
SO63069,138,1277,12275,2013-07-30,2013-08-06,2013-08-11,2295,1,2295
SO63069,193,1277,12275,2013-07-30,2013-08-06,2013-08-11,54,1,54
SO63070,113,3999,14997,2013-07-30,2013-08-06,2013-08-11,25,1,25
SO63072,193,187,11185,2013-07-30,2013-08-06,2013-08-11,54,1,54
SO63087,107,2863,13861,2013-07-30,2013-08-06,2013-08-11,22,1,22
SO63095,107,823,11821,2013-07-30,2013-08-06,2013-08-11,22,1,22
SO63318,107,3113,14111,2013-07-31,2013-08-07,2013-08-12,22,1,22
SO60287,112,8661,19659,2013-06-16,2013-06-23,2013-06-28,2,1,2
SO60289,112,11052,22050,2013-06-16,2013-06-23,2013-06-28,2,1,2
SO60290,107,2896,13894,2013-06-16,2013-06-23,2013-06-28,22,1,22
SO60333,113,3950,14948,2013-06-17,2013-06-24,2013-06-29,25,1,25
SO60348,107,2478,13476,2013-06-17,2013-06-24,2013-06-29,22,1,22
SO60369,193,14128,25126,2013-06-17,2013-06-24,2013-06-29,54,1,54
SO60381,116,16500,27498,2013-06-17,2013-06-24,2013-06-29,21,1,21
SO60381,112,16500,27498,2013-06-17,2013-06-24,2013-06-29,2,1,2
SO60403,107,4636,15634,2013-06-18,2013-06-25,2013-06-30,22,1,22
SO60414,112,9497,20495,2013-06-18,2013-06-25,2013-06-30,2,1,2
SO57460,112,842,11840,2013-05-04,2013-05-11,2013-05-16,2,1,2
SO57483,116,15146,26144,2013-05-05,2013-05-12,2013-05-17,21,1,21
SO57483,112,15146,26144,2013-05-05,2013-05-12,2013-05-17,2,1,2
SO57491,112,2831,13829,2013-05-05,2013-05-12,2013-05-17,2,1,2
SO57495,112,13727,24725,2013-05-05,2013-05-12,2013-05-17,2,1,2
SO57496,112,12824,23822,2013-05-05,2013-05-12,2013-05-17,2,1,2
SO57502,107,2928,13926,2013-05-05,2013-05-12,2013-05-17,22,1,22
SO57555,112,6507,17505,2013-05-06,2013-05-13,2013-05-18,2,1,2
SO57560,112,8344,19342,2013-05-06,2013-05-13,2013-05-18,2,1,2
SO57572,187,4500,15498,2013-05-06,2013-05-13,2013-05-18,50,1,50
SO57579,107,2345,13343,2013-05-06,2013-05-13,2013-05-18,22,1,22
SO57579,112,2345,13343,2013-05-06,2013-05-13,2013-05-18,2,1,2
SO57602,113,14209,25207,2013-05-07,2013-05-14,2013-05-19,25,1,25
SO57602,107,14209,25207,2013-05-07,2013-05-14,2013-05-19,22,1,22
SO57641,116,15546,26544,2013-05-08,2013-05-15,2013-05-20,21,1,21
SO51480,152,5939,16937,2013-01-16,2013-01-23,2013-01-28,1701,1,1701
SO51485,156,5318,16316,2013-01-16,2013-01-23,2013-01-28,2443,1,2443
SO51485,112,5318,16316,2013-01-16,2013-01-23,2013-01-28,2,1,2
SO51489,107,291,11289,2013-01-16,2013-01-23,2013-01-28,22,1,22
SO51489,112,291,11289,2013-01-16,2013-01-23,2013-01-28,2,1,2
SO51490,107,173,11171,2013-01-16,2013-01-23,2013-01-28,22,1,22
SO51492,107,20,11018,2013-01-16,2013-01-23,2013-01-28,22,1,22
SO51500,193,10016,21014,2013-01-16,2013-01-23,2013-01-28,54,1,54
SO51511,156,7243,18241,2013-01-18,2013-01-25,2013-01-30,2443,1,2443
SO51513,154,5572,16570,2013-01-18,2013-01-25,2013-01-30,1701,1,1701
SO51551,132,2060,13058,2013-01-20,2013-01-27,2013-02-01,565,1,565
SO51553,107,288,11286,2013-01-20,2013-01-27,2013-02-01,22,1,22
SO51553,187,288,11286,2013-01-20,2013-01-27,2013-02-01,50,1,50
SO51595,107,6,11004,2013-01-22,2013-01-29,2013-02-03,22,1,22
SO51610,107,23,11021,2013-01-23,2013-01-30,2013-02-04,22,1,22
SO54506,116,14528,25526,2013-03-16,2013-03-23,2013-03-28,21,1,21
SO54548,112,742,11740,2013-03-17,2013-03-24,2013-03-29,2,1,2
SO54573,107,1191,12189,2013-03-17,2013-03-24,2013-03-29,22,1,22
SO54645,107,1174,12172,2013-03-18,2013-03-25,2013-03-30,22,1,22
SO54681,112,12724,23722,2013-03-19,2013-03-26,2013-03-31,2,1,2
SO54697,107,1909,12907,2013-03-19,2013-03-26,2013-03-31,22,1,22
SO65978,107,2881,13879,2013-09-08,2013-09-15,2013-09-20,22,1,22
SO66017,154,11505,22503,2013-09-09,2013-09-16,2013-09-21,1701,1,1701
SO66040,113,187,11185,2013-09-09,2013-09-16,2013-09-21,25,1,25
SO66045,113,7039,18037,2013-09-09,2013-09-16,2013-09-21,25,1,25
SO66046,113,6890,17888,2013-09-09,2013-09-16,2013-09-21,25,1,25
SO66055,107,4954,15952,2013-09-09,2013-09-16,2013-09-21,22,1,22
SO66067,181,15700,26698,2013-09-09,2013-09-16,2013-09-21,2384,1,2384
SO66129,113,5067,16065,2013-09-10,2013-09-17,2013-09-22,25,1,25
SO66129,112,5067,16065,2013-09-10,2013-09-17,2013-09-22,2,1,2
SO63373,112,623,11621,2013-08-01,2013-08-08,2013-08-13,2,1,2
SO63387,112,9766,20764,2013-08-01,2013-08-08,2013-08-13,2,1,2
SO63455,107,8829,19827,2013-08-02,2013-08-09,2013-08-14,22,1,22
SO63460,112,6825,17823,2013-08-02,2013-08-09,2013-08-14,2,1,2
SO63466,112,205,11203,2013-08-02,2013-08-09,2013-08-14,2,1,2
SO63501,112,7494,18492,2013-08-03,2013-08-10,2013-08-15,2,1,2
SO63504,157,2577,13575,2013-08-03,2013-08-10,2013-08-15,2443,1,2443
SO63527,112,8494,19492,2013-08-03,2013-08-10,2013-08-15,2,1,2
SO63534,180,4099,15097,2013-08-03,2013-08-10,2013-08-15,2384,1,2384
SO63536,152,12541,23539,2013-08-03,2013-08-10,2013-08-15,1701,1,1701
SO57668,107,1092,12090,2013-05-08,2013-05-15,2013-05-20,22,1,22
SO57697,112,5185,16183,2013-05-09,2013-05-16,2013-05-21,2,1,2
